,quantity
2013-10-02,4613.0
2013-10-03,5888.0
2013-10-04,7882.0
2013-10-05,7949.0
2013-10-06,3984.0
2013-10-07,4220.0
2013-10-08,4166.0
2013-10-09,4561.0
2013-10-10,5878.0
2013-10-11,7839.0
2013-10-12,7821.0
2013-10-13,3887.0
2013-10-14,4389.0
2013-10-15,4737.0
2013-10-16,4503.0
2013-10-17,6194.0
2013-10-18,7735.0
2013-10-19,8476.0
2013-10-20,3971.0
2013-10-21,4318.0
2013-10-22,4547.0
2013-10-23,4849.0
2013-10-24,6518.0
2013-10-25,8443.0
2013-10-26,7865.0
2013-10-27,3988.0
2013-10-28,4086.0
2013-10-29,4666.0
2013-10-30,5224.0
2013-10-31,6775.0
2013-11-01,8130.0
2013-11-02,8652.0
2013-11-03,4044.0
2013-11-04,4200.0
2013-11-05,4658.0
2013-11-06,7408.0
2013-11-07,9150.0
2013-11-08,10700.0
2013-11-09,10837.0
2013-11-10,5894.0
2013-11-11,5206.0
2013-11-12,5888.0
2013-11-13,6327.0
2013-11-14,8295.0
2013-11-15,10975.0
2013-11-16,10231.0
2013-11-17,5387.0
2013-11-18,5453.0
2013-11-19,5782.0
2013-11-20,6767.0
2013-11-21,8873.0
2013-11-22,11981.0
2013-11-23,11881.0
2013-11-24,6135.0
2013-11-25,7074.0
2013-11-26,6729.0
2013-11-27,7437.0
2013-11-28,9164.0
2013-11-29,12095.0
2013-11-30,11608.0
2013-12-01,6202.0
2013-12-02,5971.0
2013-12-03,5642.0
2013-12-04,6419.0
2013-12-05,7537.0
2013-12-06,11316.0
2013-12-07,11483.0
2013-12-08,6352.0
2013-12-09,6807.0
2013-12-10,6660.0
2013-12-11,6396.0
2013-12-12,8120.0
2013-12-13,10077.0
2013-12-14,10442.0
2013-12-15,5751.0
2013-12-16,6979.0
2013-12-17,7464.0
2013-12-18,8482.0
2013-12-19,12495.0
2013-12-20,16295.0
2013-12-21,16216.0
2013-12-22,9646.0
2013-12-23,16164.0
2013-12-24,13258.0
2013-12-25,0.0
2013-12-26,1101.0
2013-12-27,7823.0
2013-12-28,15118.0
2013-12-29,9532.0
2013-12-30,13544.0
2013-12-31,13685.0
2014-01-01,1822.0
2014-01-02,8937.0
2014-01-03,10063.0
2014-01-04,12593.0
2014-01-05,5472.0
2014-01-06,6760.0
2014-01-07,5868.0
2014-01-08,6920.0
2014-01-09,8450.0
2014-01-10,12304.0
2014-01-11,11822.0
2014-01-12,5968.0
2014-01-13,6284.0
2014-01-14,6634.0
2014-01-15,6799.0
2014-01-16,8438.0
2014-01-17,11567.0
2014-01-18,9264.0
2014-01-19,4512.0
2014-01-20,3331.0
2014-01-21,3513.0
2014-01-22,3116.0
2014-01-23,5171.0
2014-01-24,7133.0
2014-01-25,7128.0
2014-01-26,2773.0
2014-01-27,3206.0
2014-01-28,3254.0
2014-01-29,4062.0
2014-01-30,5903.0
2014-01-31,8118.0
2014-02-01,7975.0
2014-02-02,3905.0
2014-02-03,3974.0
2014-02-04,3836.0
2014-02-05,4316.0
2014-02-06,6222.0
2014-02-07,9154.0
2014-02-08,8540.0
2014-02-09,4455.0
2014-02-10,4122.0
2014-02-11,4035.0
2014-02-12,4243.0
2014-02-13,11182.0
2014-02-14,19458.0
2014-02-15,10527.0
2014-02-16,4684.0
2014-02-17,4747.0
2014-02-18,4484.0
2014-02-19,4725.0
2014-02-20,5975.0
2014-02-21,8705.0
2014-02-22,8293.0
2014-02-23,3766.0
2014-02-24,4170.0
2014-02-25,3953.0
2014-02-26,4850.0
2014-02-27,6468.0
2014-02-28,8677.0
2014-03-01,8943.0
2014-03-02,4084.0
2014-03-03,4210.0
2014-03-04,4081.0
2014-03-05,4651.0
2014-03-06,6017.0
2014-03-07,8844.0
2014-03-08,11102.0
2014-03-09,4084.0
2014-03-10,4521.0
2014-03-11,4096.0
2014-03-12,4672.0
2014-03-13,5898.0
2014-03-14,8144.0
2014-03-15,8064.0
2014-03-16,3849.0
2014-03-17,4179.0
2014-03-18,4022.0
2014-03-19,4711.0
2014-03-20,5786.0
2014-03-21,7423.0
2014-03-22,7430.0
2014-03-23,4155.0
2014-03-24,4445.0
2014-03-25,4552.0
2014-03-26,4885.0
2014-03-27,6430.0
2014-03-28,10841.0
2014-03-29,22817.0
2014-03-30,12829.0
2014-03-31,3681.0
2014-04-01,9558.0
2014-04-02,7750.0
2014-04-03,4341.0
2014-04-04,6837.0
2014-04-05,7178.0
2014-04-06,3631.0
2014-04-07,4060.0
2014-04-08,4134.0
2014-04-09,4582.0
2014-04-10,6061.0
2014-04-11,7832.0
2014-04-12,8047.0
2014-04-13,3514.0
2014-04-14,4364.0
2014-04-15,4459.0
2014-04-16,6379.0
2014-04-17,12518.0
2014-04-18,11971.0
2014-04-19,16460.0
2014-04-20,686.0
2014-04-21,5091.0
2014-04-22,4318.0
2014-04-23,5250.0
2014-04-24,6573.0
2014-04-25,9023.0
2014-04-26,8320.0
2014-04-27,3708.0
2014-04-28,4509.0
2014-04-29,4386.0
2014-04-30,4603.0
2014-05-01,6586.0
2014-05-02,8706.0
2014-05-03,7635.0
2014-05-04,3516.0
2014-05-05,3340.0
2014-05-06,4211.0
2014-05-07,4441.0
2014-05-08,5875.0
2014-05-09,8328.0
2014-05-10,8150.0
2014-05-11,3712.0
2014-05-12,3977.0
2014-05-13,4043.0
2014-05-14,4232.0
2014-05-15,6136.0
2014-05-16,8408.0
2014-05-17,7464.0
2014-05-18,3282.0
2014-05-19,4311.0
2014-05-20,5515.0
2014-05-21,6671.0
2014-05-22,8959.0
2014-05-23,11067.0
2014-05-24,10437.0
2014-05-25,4933.0
2014-05-26,5208.0
2014-05-27,5216.0
2014-05-28,6654.0
2014-05-29,8052.0
2014-05-30,9895.0
2014-05-31,10399.0
2014-06-01,4799.0
2014-06-02,4088.0
2014-06-03,4771.0
2014-06-04,4862.0
2014-06-05,6349.0
2014-06-06,9065.0
2014-06-07,8483.0
2014-06-08,3695.0
2014-06-09,4226.0
2014-06-10,4016.0
2014-06-11,5484.0
2014-06-12,7077.0
2014-06-13,9728.0
2014-06-14,9895.0
2014-06-15,5229.0
2014-06-16,4213.0
2014-06-17,4011.0
2014-06-18,5111.0
2014-06-19,6590.0
2014-06-20,9284.0
2014-06-21,8841.0
2014-06-22,4082.0
2014-06-23,4972.0
